content,score
Masukan penting 1. Notif keluar selalu ada tapi notif uang masuk selalu sangat telat dan bahkan kadang tidak ada.. Sebagai pelaku bisnis ini sangat tidak nyaman karna pelanggan transfer DP tidak ada notif nya dan di histori juga saldo masuk tidak ada.. 2. kemudahan juga masih mudah di bank sebelah tentang beli pulsa dan token listrik. Semoga lebih di tingkatkan lagi kedepan nya agar pelanggan tetep betah pakai.,3
"Mutasi transaksi tidak lengkap/rinci. Potongan pembayaran angsuran Fleksi tidak muncul. Sempat bikin deg2an karena saldo sudah menipis namun dari mutasi tidak nampak potongan angsurannya sehingga sempat berpikir dana hilang. Namun, setelah lihat di BNI Mobile Banking (aplikasi lama) ternyata sudah muncul mutasi pendebetannya. Selain itu saldo blokir pinjaman juga tidak nampak di aplikasi Wondr ini. Masih lebih baik aplikasi yg lama.",2
"Hati-hati menggunakan aplikasi ini, transaksi qris status nya gagal akhirnya transaksi ulang, mau cek rekening koran tambah kurang saldonya malah tidak ada, untung BNI mobile belum ku uninstall, ternyata transakai yg tertulis gagal tadi ternyata berhasil, hampir saja bersitegang dengan counter nya, ternyata aplikasinya yang membuat masalah, jangan sampai setelah migrasi ke wondr rekening koran keluar masuk saldonya tetap tidak ada, auto cabut lah bakalan",1
"Untuk tampilannya tidak membosankan. Untuk masukannya, kalau bisa history transaksiny disertai jumlah saldo ditabunganny, jangan cuma pemasukan dan penengeluaran saja. Untuk e wallet dana kenapa dibatasi 2 jt..",5
"Menurut saya malah lebih bagus yg BNI Mobile bangking krn riwayat transaksinya lebih lengkap,keterangan bs terbaca banyak dan setelah ada transaksi masuk atau keluar ada saldo jg jd ngecek2 lebih mudah. Di wonder keterangan traksasi minimalis..",3
"aplikasi ga jelas uy, ngirim OTP ke Email ga masuk², padahal email udh di kosongkan, udah sesuai email BNI yg lama jg, jaringan 5G, udh di uninstal dan di instal lg tp masih ga masuk tuh OTP email... tp OTP WA mah masuk... kenapa ya OTP email ga masuk²?",1
"Aplikasi lemah, Kirim Email verifikasi lama banget ngabisin waktu sampai akhirnya keluar notif suruh coba lagi besok. Buang buang waktu. Sudah ber kali kali kirim Kode verifikasi kerika di input salah. Padahal sudah sesuai yg di kirim ke email, lama pula nunggu email verifikasinya lebih dari 5 menit. Sampai akhirnya keluar notif harus coba lagi besok. Gak mutu. Mending upgrade yang udah ada, gak usah launching yg baru kalau mutunya masih coba coba. Sorry fix uninstall.",1
Baru pakai bentar langsung kepikiran buat hapus akun Wondr. Riwayat transaksi kurang baik. Cuma ada uang masuk dan keluar saja. Tidak ada saldo akhir setelah uang masuk ataupun keluar. Kalau mau download e-statement (catatan transaksi) per bulan juga bingung menu-nya ada di mana.,1
"Sdh dicoba menu transfer dan menu riwayat mobile bni yg lama ternyata sdh otomatis tersimpan, cuma kurangnya menu pinjaman tidak ada juga tidak ada saldo dr mutasi rek. Smg bisa ditambah fiturnya.",4
"Tampilan baru yg menyegarkan, pada awalnya terdapat kendala saat verifikasi wajah saat mata diminta berkedip, tp setelah dicoba lain hari, cuma diminta gerakan kepala ke atas saat verifikasi wajah langsung sukses, Alhamdulillah. Dan masih ada kendala lg, mutasi rekening tidak bisa seperti BNI mobile, misalnya mutasi seperti Jasa/Bunga tabungan, biaya kartu dan administrasi tidak muncul. Mohon dibenahi dulu, dan menunya belum selengkap BNI mobile yg bisa bayar biaya pendidikan. Terimakasih",5
